phase,timestamp,balance,equity,drawdown_pct,open_positions
baseline,2025-01-01T00:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T04:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T08:00:00+00:00,5000.0,5007.95757355,0.0,1
baseline,2025-01-01T12:00:00+00:00,5000.0,5020.78136588,0.0,1
baseline,2025-01-01T16:00:00+00:00,5000.0,4968.02579792,0.01050744,1
baseline,2025-01-01T20:00:00+00:00,5000.0,4957.24869564,0.01265394,1
baseline,2025-01-02T00:00:00+00:00,5000.0,4958.9116313,0.01232273,1
baseline,2025-01-02T04:00:00+00:00,5000.0,4936.5739282,0.01677178,1
baseline,2025-01-02T08:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-02T12:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-02T16:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-02T20:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-03T00:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-03T04:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-03T08:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-03T12:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-03T16:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-03T20:00:00+00:00,4936.5739282,4936.5739282,0.01677178,0
baseline,2025-01-04T00:00:00+00:00,4936.5739282,4918.14382888,0.02044254,1
baseline,2025-01-04T04:00:00+00:00,4936.5739282,4918.31434993,0.02040858,1
baseline,2025-01-04T08:00:00+00:00,4936.5739282,4922.68337572,0.01953839,1
baseline,2025-01-04T12:00:00+00:00,4936.5739282,4903.67719177,0.02332389,1
baseline,2025-01-04T16:00:00+00:00,4936.5739282,4894.08192626,0.025235,1
baseline,2025-01-04T20:00:00+00:00,4936.5739282,4916.97322492,0.02067569,1
baseline,2025-01-05T00:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-05T04:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-05T08:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-05T12:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-05T16:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-05T20:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-06T00:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-06T04:00:00+00:00,4916.9778336,4916.9778336,0.02067478,0
baseline,2025-01-06T08:00:00+00:00,4916.9778336,4930.63541435,0.01795457,1
baseline,2025-01-06T12:00:00+00:00,4916.9778336,4927.62081379,0.01855499,1
baseline,2025-01-06T16:00:00+00:00,4916.9778336,5070.91118463,0.0,1
baseline,2025-01-06T20:00:00+00:00,4916.9778336,5054.38302873,0.00325941,1
baseline,2025-01-07T00:00:00+00:00,4916.9778336,5074.68067692,0.0,1
baseline,2025-01-07T04:00:00+00:00,4916.9778336,5048.90013086,0.00508023,1
baseline,2025-01-07T08:00:00+00:00,5048.90509725,5048.90509725,0.00507925,0
baseline,2025-01-07T12:00:00+00:00,5048.90509725,5048.90509725,0.00507925,0
baseline,2025-01-07T16:00:00+00:00,4947.9270051,4947.9270051,0.02497766,0
baseline,2025-01-07T20:00:00+00:00,4947.9270051,4947.9270051,0.02497766,0
baseline,2025-01-08T00:00:00+00:00,4947.9270051,4947.9270051,0.02497766,0
baseline,2025-01-08T04:00:00+00:00,4947.9270051,4947.9270051,0.02497766,0
baseline,2025-01-08T08:00:00+00:00,4947.9270051,4947.9270051,0.02497766,0
baseline,2025-01-08T12:00:00+00:00,4947.9270051,4947.9270051,0.02497766,0
baseline,2025-01-08T16:00:00+00:00,4947.9270051,4947.9270051,0.02497766,0
baseline,2025-01-08T20:00:00+00:00,4848.96846222,4848.96846222,0.04447811,0
